Germigny-sous-Coulombs (77840) - Mme Chantal ANTOINE
Gesvres-le-Chapitre (77165) - M. Laurent COURTIER
Gif-sur-Yvette (91190) - M. Michel BOURNAT
Giremoutiers (77120) - M. Yves BRODARD
Gironville (77890) - Mme Marian WATTS
Gironville-sur-Essonne (91720) - M. Alain JOYEZ
Gometz-la-Ville (91400) - Mme Edwige HUOT MARCHAND
Gometz-le-Châtel (91940) - Mme Lucie SELLEM
Gommecourt (78270) - M. Gérard SOLARO
Gonesse (95500) - M. Jean-Pierre BLAZY
Gouaix (77114) - M. Jean-Paul FENOT
Goupillières (78770) - Mme Régine FRANCOIS
Gournay-sur-Marne (93460) - M. Eric SCHLEGEL
Goussainville (95190) - M. Abdelaziz HAMIDA
Goussonville (78930) - M. Fabrice LEPINTE
Gouvernes (77400) - Mme Nathalie TORTRAT
Gouzangrez (95450) - M. Pierre CHIARADIA
Grandchamp (78113) - M. Hervé RENAULD
Grandpuits-Bailly-Carrois (77720) - M. Jean Jacques BRICHET
Gravon (77118) - M. Brice CHANTRE
Gressey (78550) - M. Valéry BERTRAND
Gressy (77410) - M. Jean-Claude GENIES
Gretz-Armainvilliers (77220) - M. Jean-Paul GARCIA ROBIN
Grez-sur-Loing (77880) - M. Jacques BEDOSSA
Grigny (91350) - M. Philippe RIO
Grisy-les-Plâtres (95810) - Mme Catherine CARPENTIER
Grisy-Suisnes (77166) - M. Jean-Marc CHANUSSOT
Grisy-sur-Seine (77480) - M. Jérôme JUZWENKO
Groslay (95410) - M. Patrick CANCOUET
Grosrouvre (78490) - M. Yves LAMBERT
Guérard (77580) - M. Daniel NALIS
Guercheville (77760) - M. Gilles AUGÉ
Guermantes (77600) - M. Denis MARCHAND
Guernes (78520) - M. Pascal BRUSSEAUX
Guerville (78930) - Mme Evelyne PLACET
Guibeville (91630) - M. Michel COLLET
Guignes (77390) - M. Bernard BOUTILLIER
Guigneville-sur-Essonne (91590) - M. Gilles LE PAGE
Guillerval (91690) - M. Daniel CIRET
Guiry-en-Vexin (95450) - M. Michel CATHALA
Guitrancourt (78440) - M. Patrick DAUGE

Abancourt (59268) - Mme Françoise LAINE
Abancourt (60220) - M. Jean-Louis DOR
Abbécourt (02300) - M. René PÂRIS
Abbecourt (60430) - M. Jean-Jacques ANTHÉAUME
Abbeville (80100) - M. Pascal DEMARTHE
Abbeville-Saint-Lucien (60480) - M. Vincent NOEL
Ablain-Saint-Nazaire (62153) - M. Eric SEVIN
Ablaincourt-Pressoir (80320) - M. Dany DOMONT
Ablainzevelle (62116) - M. Jean-François LALY
Abscon (59215) - M. Patrick KOWALCZYK
Achery (02800) - M. Marc LEGARD
Acheux-en-Amiénois (80560) - Mme Anna Maria LEMAIRE
Acheux-en-Vimeu (80210) - M. Jean-Charles MARTEL
Acheville (62320) - M. Philippe LA GRANGE
Achicourt (62217) - M. Jean-Paul LEBLANC
Achiet-le-Grand (62121) - Mme Patricia COPIN
Achiet-le-Petit (62121) - M. Philippe LESAGE
Achy (60690) - Mme Sylviane DECHERF
Acq (62144) - M. Alain BARTIER
Acquin-Westbécourt (62380) - M. Mathieu PRUVOST
Acy (02200) - M. Dominique MATHAUT
Acy-en-Multien (60620) - M. Jean-Michel RAMIZ
Adinfer (62116) - M. Jean-Marie DUFAY
Affringues (62380) - Mme Isabelle POURCHEL
Agenville (80370) - M. Dany PETIT
Agenvillers (80150) - M. Pascal FARCY
Agnetz (60600) - Mme Stéphanie ANSART
Agnez-lès-Duisans (62161) - M. Pascal COIN
Agnicourt-et-Séchelles (02340) - M. Patrice LETURQUE
Agnières (62690) - M. Pascal MESTAN
Agny (62217) - M. Didier THUILOT
Aguilcourt (02190) - M. Gérard PREVOT
Aibes (59149) - M. Pascal CHABOT
Aigneville (80210) - M. Michel DEQUEVAUVILLER
Ailly-le-Haut-Clocher (80690) - M. Antoine BERTHE
Ailly-sur-Noye (80250) - M. Pierre DURAND
Ailly-sur-Somme (80470) - Mme Catherine BENEDINI POLLEUX
Airaines (80270) - M. Albert NOBLESSE
Aire-sur-la-Lys (62120) - M. Jean-Claude DISSAUX
Airion (60600) - Mme Sandrine DRETZ
Airon-Notre-Dame (62180) - M. Marc DELABY
Airon-Saint-Vaast (62180) - M. Sébastien BETHOUART
